"source_sitemap","source_url","target_url","decision","verification","owner","captured_date"
"product-sitemap.xml","https://holypearl.co.il/product/תפילין/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/טלית-צמר-רחלים-א-א-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/טלית-מהודרת/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/טלית-צמר-רחלים-א-א/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/טלית-צמר-רחלים-תשבץ/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-מתכת-בצבע-נקי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/קלף-למזוזה-נוסח-ספרדי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/קלף-למזוזה-נוסח-אשכנזי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סידור-רינת-ישראל-עור-עתיק-מעובד/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סטנדר-שולחן-מהודר/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בדיקה-מזוזה-ותפילין/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/קופות-צדקה-פולי-עץ-לבן-ריבוע/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/קופות-צדקה-פולי-עץ-לבן-משושה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-בעיטור-אבני-חושן/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סידור-כוונת-הלב-כריכת-סקאי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סטנדר-שולחן-עץ/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-קטיפה-שחורה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סט-מחזורים-כוונת-הלב-כריכת-סקאי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/ערכת-בר-מצווה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סידור-רינת-ישראל/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סטנדר-שער-וילנא-תחרה-לבנה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סידור-לבת-ישראל-ספרדי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סידור-לרה-קורן-ספרד/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סט-טלית-ותפילין-עם-ספירלה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-תפילין-וטלית-דמוי-עור-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/שמן-מאור/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סטאן-לבנה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-זיגזגים-זהב/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-מוקפת-מגני-דויד/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-כחולה-עם-פס-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-ירוקה-עם-פס/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/נטלה-ירושלים-לבן/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/ראנר-שולחן-שבת-קודש/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/נר-זכוכית-לשמן-מאור/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/חמסה-בשילוב-עץ-רימונים-נתלה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-אליהו-ירושלים-כסף/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-בעיטור-אבני-חושן-כסף/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-ירושלים-מגן-דוד/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-אשכול/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-ירושלים-מרובע/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-מפוארת-עם-רגל/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כוס-קידוש-נמוך/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-לפלטת-שבת-פס/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/משפך-8-כוסות-עם-רגל/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-לפסח-בצורת-עגול/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סט-חמישה-מחזורים-רינת-ישראל-עור-ממוחז/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/נרונים/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/נר-הבדלה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/נר-הבדלה-מעוצב-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/פמוטים-בצורת-כדור/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/פמוטים-בצורת-חבית/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/סט-פמוטים-גבוה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-תפילין-וטלית-קטיפה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/מעמד-למפיות-לבן/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-לפלטת-שבת/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיסוי-לפלטת-שבת-פישתן/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/חנוכיה-חבד/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/חנוכייה-עגולה/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/מגש-חלה-שבת-עם-סכין-מהודר/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-פלסטיק-כסוף/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-פלסטיק-שחור/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-זכוכית-בעיצוב-ירושלמי/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-זכוכית-תכלת/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-מתכת/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-אלומניום/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-אבן-רימונים/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-אבן-העתק/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-בעיצוב-צעיר/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-אבן-מלבני/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/בית-מזוזה-אבן/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-שחורה-עם-פס-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-שחורה-עם-פס/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-תכלת-עם-פס-3/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-תכלת-עם-פס-2/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
"product-sitemap.xml","https://holypearl.co.il/product/כיפה-סרוגה-תכלת-עם-פס/","","Pending content review","Sitemap membership only; HTTP/indexation not verified","Content editor + SEO maintainer","2026-09-04"
