"record_type","wp_id","title_or_slug","url","published","modified","content_chars","excerpt_chars","featured_media_id","source_taxonomy_ids","disposition","target_url","editorial_owner","verification_status","notes"
"product","2394","סטנדר עץ שולחן","https://holypearl.co.il/product/%d7%a1%d7%98%d7%a0%d7%93%d7%a8-%d7%a9%d7%95%d7%9c%d7%97%d7%9f-%d7%a2%d7%a5/","2020-05-10T12:45:55","2022-06-21T14:23:10","0","28","2390","cat:1554","","","","not reviewed",""
"product","2388","סטנדר שולחן מהודר","https://holypearl.co.il/product/%d7%a1%d7%98%d7%a0%d7%93%d7%a8-%d7%a9%d7%95%d7%9c%d7%97%d7%9f-%d7%9e%d7%94%d7%95%d7%93%d7%a8/","2020-05-10T12:43:43","2023-08-24T13:21:14","0","54","2389","cat:1566|cat:1554","","","","not reviewed",""
"product","2377","סידור רינת ישראל","https://holypearl.co.il/product/%d7%a1%d7%99%d7%93%d7%95%d7%a8-%d7%a8%d7%99%d7%a0%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c/","2020-05-10T12:33:34","2020-05-10T12:44:22","0","49","2361","cat:1398","","","","not reviewed",""
"product","2368","סידור רינת ישראל עור עתיק/מעובד","https://holypearl.co.il/product/%d7%a1%d7%99%d7%93%d7%95%d7%a8-%d7%a8%d7%99%d7%a0%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%a2%d7%95%d7%a8-%d7%a2%d7%aa%d7%99%d7%a7-%d7%9e%d7%a2%d7%95%d7%91%d7%93/","2020-05-10T12:16:03","2023-08-24T13:22:17","0","95","2362","cat:1566|cat:1398","","","","not reviewed",""
"product","2364","סידור לבת ישראל ספרדי","https://holypearl.co.il/product/%d7%a1%d7%99%d7%93%d7%95%d7%a8-%d7%9c%d7%91%d7%aa-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%a1%d7%a4%d7%a8%d7%93%d7%99/","2020-05-10T12:07:37","2020-05-10T12:15:40","0","30","2360","cat:1566","","","","not reviewed",""
"product","2355","סידור לרה קורן ספרד","https://holypearl.co.il/product/%d7%a1%d7%99%d7%93%d7%95%d7%a8-%d7%9c%d7%a8%d7%94-%d7%a7%d7%95%d7%a8%d7%9f-%d7%a1%d7%a4%d7%a8%d7%93/","2020-05-10T12:07:28","2020-05-10T12:07:28","0","42","2358","cat:1566","","","","not reviewed",""
"product","2347","טלית צמר רחלים תשבץ","https://holypearl.co.il/product/%d7%98%d7%9c%d7%99%d7%aa-%d7%a6%d7%9e%d7%a8-%d7%a8%d7%97%d7%9c%d7%99%d7%9d-%d7%aa%d7%a9%d7%91%d7%a5/","2020-05-10T11:50:26","2023-11-29T11:09:09","0","85","2323","cat:1395","","","","not reviewed",""
"product","2338","טלית צמר רחלים א.א","https://holypearl.co.il/product/%d7%98%d7%9c%d7%99%d7%aa-%d7%a6%d7%9e%d7%a8-%d7%a8%d7%97%d7%9c%d7%99%d7%9d-%d7%90-%d7%90-2/","2020-05-10T11:30:36","2023-11-29T11:18:47","0","24","2322","cat:1395","","","","not reviewed",""
"product","2324","טלית צמר רחלים א.א","https://holypearl.co.il/product/%d7%98%d7%9c%d7%99%d7%aa-%d7%a6%d7%9e%d7%a8-%d7%a8%d7%97%d7%9c%d7%99%d7%9d-%d7%90-%d7%90/","2020-05-10T11:20:41","2023-11-29T11:14:28","0","24","2320","cat:1395","","","","not reviewed",""
"product","2298","בדיקה מזוזה ותפילין","https://holypearl.co.il/product/%d7%91%d7%93%d7%99%d7%a7%d7%94-%d7%9e%d7%96%d7%95%d7%96%d7%94-%d7%95%d7%aa%d7%a4%d7%99%d7%9c%d7%99%d7%9f/","2020-05-06T20:04:21","2023-08-24T13:15:09","0","128","2299","cat:1566","","","","not reviewed",""
